===============================================================================
Id,USDDKK,len,datetime,open,high,low,close,volume,openinterest,USDPLN,len,datetime,open,high,low,close,volume,openinterest,TestStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,USDDKK,USDPLN
1127,USDDKK,1126,2009-05-07 23:59:59.999989,5.60494,5.52918,5.61996,5.56831,0.0,,USDPLN,1127,2009-05-07 23:59:59.999989,3.28093,3.19827,3.29774,3.26178,0.0,,TestStrategy,1127,733534.9999999999,Broker,1127,99570.78215630777,100259.43191640836,BuySell,1127,,,BuySell,1127,,,DataTrades,1127,,
1128,USDDKK,1127,2009-05-08 23:59:59.999989,5.56825,5.44818,5.57302,5.45322,0.0,,USDPLN,1128,2009-05-08 23:59:59.999989,3.2619,3.1583,3.26615,3.18081,0.0,,TestStrategy,1128,733535.9999999999,Broker,1128,99570.78215630777,100253.01757999253,BuySell,1128,,,BuySell,1128,,,DataTrades,1128,,
1129,USDDKK,1128,2009-05-11 23:59:59.999989,5.45338,5.44918,5.49395,5.47628,0.0,,USDPLN,1129,2009-05-11 23:59:59.999989,3.18091,3.16784,3.24154,3.22621,0.0,,TestStrategy,1129,733538.9999999999,Broker,1129,99570.78215630777,100237.4699989249,BuySell,1129,,,BuySell,1129,,,DataTrades,1129,,
1130,USDDKK,1129,2009-05-12 23:59:59.999989,5.47608,5.42614,5.48146,5.43868,0.0,,USDPLN,1130,2009-05-12 23:59:59.999989,3.22609,3.19405,3.25601,3.20406,0.0,,TestStrategy,1130,733539.9999999999,Broker,1130,99570.78215630777,100232.89191611839,BuySell,1130,,,BuySell,1130,,,DataTrades,1130,,
1131,USDDKK,1130,2009-05-13 23:59:59.999989,5.4389,5.42837,5.50054,5.48916,0.0,,USDPLN,1131,2009-05-13 23:59:59.999989,3.2042,3.18654,3.29001,3.28357,0.0,,TestStrategy,1131,733540.9999999999,Broker,1131,99570.78215630777,100210.32298565522,BuySell,1131,,,BuySell,1131,,,DataTrades,1131,,
1132,USDDKK,1131,2009-05-14 23:59:59.999989,5.4891,5.44866,5.50221,5.46085,0.0,,USDPLN,1132,2009-05-14 23:59:59.999989,3.2837,3.2664,3.32014,3.27225,0.0,,TestStrategy,1132,733541.9999999999,Broker,1132,99570.78215630777,100203.78523933876,BuySell,1132,,,BuySell,1132,,,DataTrades,1132,,
1133,USDDKK,1132,2009-05-15 23:59:59.999989,5.46085,5.45768,5.54596,5.53895,0.0,,USDPLN,1133,2009-05-15 23:59:59.999989,3.27225,3.26555,3.32475,3.31455,0.0,,TestStrategy,1133,733542.9999999999,Broker,1133,99570.78215630777,100215.4339785018,BuySell,1133,,,BuySell,1133,,,DataTrades,1133,,
1134,USDDKK,1133,2009-05-18 23:59:59.999989,5.53895,5.4862,5.54249,5.48644,0.0,,USDPLN,1134,2009-05-18 23:59:59.999989,3.31975,3.24609,3.33585,3.25229,0.0,,TestStrategy,1134,733545.9999999999,Broker,1134,99570.78215630777,100227.11375665943,BuySell,1134,,,BuySell,1134,,,DataTrades,1134,,
1135,USDDKK,1134,2009-05-19 23:59:59.999989,5.48571,5.44773,5.50004,5.46721,0.0,,USDPLN,1135,2009-05-19 23:59:59.999989,3.25217,3.1877,3.25775,3.19576,0.0,,TestStrategy,1135,733546.9999999999,Broker,1135,99570.78215630777,100250.85059929105,BuySell,1135,,,BuySell,1135,,,DataTrades,1135,,
1136,USDDKK,1135,2009-05-20 23:59:59.999989,5.46733,5.38298,5.48087,5.39762,0.0,,USDPLN,1136,2009-05-20 23:59:59.999989,3.19583,3.1264,3.22075,3.14437,0.0,,TestStrategy,1136,733547.9999999999,Broker,1136,99570.78215630777,100248.37458775658,BuySell,1136,,,BuySell,1136,,,DataTrades,1136,,
1137,USDDKK,1136,2009-05-21 23:59:59.999989,5.39766,5.3342,5.42281,5.34405,0.0,,USDPLN,1137,2009-05-21 23:59:59.999989,3.1444,3.13891,3.21213,3.14767,0.0,,TestStrategy,1137,733548.9999999999,Broker,1137,99570.78215630777,100221.74147001782,BuySell,1137,,,BuySell,1137,,,DataTrades,1137,,
1138,USDDKK,1137,2009-05-22 23:59:59.999989,5.34393,5.29528,5.35571,5.32267,0.0,,USDPLN,1138,2009-05-22 23:59:59.999989,3.14764,3.11079,3.1735,3.14152,0.0,,TestStrategy,1138,733549.9999999999,Broker,1138,99570.78215630777,100215.42005288214,BuySell,1138,,,BuySell,1138,,,DataTrades,1138,,
1139,USDDKK,1138,2009-05-25 23:59:59.999989,5.3229,5.30732,5.33938,5.32867,0.0,,USDPLN,1139,2009-05-25 23:59:59.999989,3.1418,3.12416,3.16643,3.14009,0.0,,TestStrategy,1139,733552.9999999999,Broker,1139,99570.78215630777,100219.01481319133,BuySell,1139,,,BuySell,1139,,,DataTrades,1139,,
1140,USDDKK,1139,2009-05-26 23:59:59.999989,5.32852,5.31524,5.37138,5.326,0.0,,USDPLN,1140,2009-05-26 23:59:59.999989,3.13998,3.13698,3.20817,3.1587,0.0,,TestStrategy,1140,733553.9999999999,Broker,1140,99570.78215630777,100207.04559525591,BuySell,1140,,,BuySell,1140,,,DataTrades,1140,,
1141,USDDKK,1140,2009-05-27 23:59:59.999989,5.32575,5.31812,5.388,5.38645,0.0,,USDPLN,1141,2009-05-27 23:59:59.999989,3.1587,3.15053,3.21375,3.2128,0.0,,TestStrategy,1141,733554.9999999999,Broker,1141,99570.78215630777,100203.73887302088,BuySell,1141,,,BuySell,1141,,,DataTrades,1141,,
1142,USDDKK,1141,2009-05-28 23:59:59.999989,5.3866,5.3181,5.3965,5.32405,0.0,,USDPLN,1142,2009-05-28 23:59:59.999989,3.21285,3.20265,3.27,3.23275,0.0,,TestStrategy,1142,733555.9999999999,Broker,1142,99570.78215630777,100163.42371195878,BuySell,1142,,,BuySell,1142,,,DataTrades,1142,,
1143,USDDKK,1142,2009-05-29 23:59:59.999989,5.3242,5.25252,5.32775,5.2628,0.0,,USDPLN,1143,2009-05-29 23:59:59.999989,3.2329,3.15294,3.23395,3.16455,0.0,,TestStrategy,1143,733556.9999999999,Broker,1143,99570.78215630777,100174.49585644445,BuySell,1143,,,BuySell,1143,,,DataTrades,1143,,
1144,USDDKK,1143,2009-06-01 23:59:59.999989,5.26305,5.22548,5.2741,5.25423,0.0,,USDPLN,1144,2009-06-01 23:59:59.999989,3.1646,3.09026,3.17222,3.14421,0.0,,TestStrategy,1144,733559.9999999999,Broker,1144,99570.78215630777,100182.2745003841,BuySell,1144,,,BuySell,1144,,,DataTrades,1144,,
1145,USDDKK,1144,2009-06-02 23:59:59.999989,5.25441,5.19498,5.27875,5.20385,0.0,,USDPLN,1145,2009-06-02 23:59:59.999989,3.14426,3.11055,3.18039,3.12519,0.0,,TestStrategy,1145,733560.9999999999,Broker,1145,99570.78215630777,100169.99105825124,BuySell,1145,,,BuySell,1145,,,DataTrades,1145,,
1146,USDDKK,1145,2009-06-03 23:59:59.999989,5.20425,5.19243,5.27723,5.25519,0.0,,USDPLN,1146,2009-06-03 23:59:59.999989,3.12541,3.0975,3.21099,3.19112,0.0,,TestStrategy,1146,733561.9999999999,Broker,1146,99570.78215630777,100155.6538434557,BuySell,1146,,,BuySell,1146,,,DataTrades,1146,,
1147,USDDKK,1146,2009-06-04 23:59:59.999989,5.25523,5.22897,5.2922,5.24373,0.0,,USDPLN,1147,2009-06-04 23:59:59.999989,3.19116,3.15635,3.21105,3.16647,0.0,,TestStrategy,1147,733562.9999999999,Broker,1147,99570.78215630777,100164.58496250314,BuySell,1147,,,BuySell,1147,,,DataTrades,1147,,
1148,USDDKK,1147,2009-06-05 23:59:59.999989,5.24354,5.21864,5.3443,5.32078,0.0,,USDPLN,1148,2009-06-05 23:59:59.999989,3.16644,3.15654,3.26703,3.22314,0.0,,TestStrategy,1148,733563.9999999999,Broker,1148,99570.78215630777,100167.45850205068,BuySell,1148,,,BuySell,1148,,,DataTrades,1148,,
1149,USDDKK,1148,2009-06-08 23:59:59.999989,5.32082,5.31563,5.39354,5.36768,0.0,,USDPLN,1149,2009-06-08 23:59:59.999989,3.22317,3.21992,3.30337,3.25113,0.0,,TestStrategy,1149,733566.9999999999,Broker,1149,99570.78215630777,100172.96042154555,BuySell,1149,,,BuySell,1149,,,DataTrades,1149,,
1150,USDDKK,1149,2009-06-09 23:59:59.999989,5.36763,5.27973,5.37474,5.28969,0.0,,USDPLN,1150,2009-06-09 23:59:59.999989,3.2511,3.17104,3.25552,3.17646,0.0,,TestStrategy,1150,733567.9999999999,Broker,1150,99570.78215630777,100180.03770630027,BuySell,1150,,,BuySell,1150,,,DataTrades,1150,,
1151,USDDKK,1150,2009-06-10 23:59:59.999989,5.28974,5.26379,5.35023,5.30806,0.0,,USDPLN,1151,2009-06-10 23:59:59.999989,3.17649,3.14538,3.22896,3.19323,0.0,,TestStrategy,1151,733568.9999999999,Broker,1151,99570.78215630777,100178.8426289327,BuySell,1151,,,BuySell,1151,,,DataTrades,1151,,
1152,USDDKK,1151,2009-06-11 23:59:59.999989,5.30821,5.2512,5.34005,5.28015,0.0,,USDPLN,1152,2009-06-11 23:59:59.999989,3.19331,3.13821,3.21142,3.1634,0.0,,TestStrategy,1152,733569.9999999999,Broker,1152,99570.78215630777,100183.168518934,BuySell,1152,,,BuySell,1152,,,DataTrades,1152,,
1153,USDDKK,1152,2009-06-12 23:59:59.999989,5.2801,5.27441,5.34217,5.33428,0.0,,USDPLN,1153,2009-06-12 23:59:59.999989,3.16337,3.1499,3.21365,3.17957,0.0,,TestStrategy,1153,733570.9999999999,Broker,1153,99570.78215630777,100198.8273068464,BuySell,1153,,,BuySell,1153,,,DataTrades,1153,,
1154,USDDKK,1153,2009-06-15 23:59:59.999989,5.33433,5.33177,5.41426,5.39402,0.0,,USDPLN,1154,2009-06-15 23:59:59.999989,3.17965,3.17809,3.29797,3.27865,0.0,,TestStrategy,1154,733573.9999999999,Broker,1154,99570.78215630777,100169.24249023494,BuySell,1154,,,BuySell,1154,,,DataTrades,1154,,
1155,USDDKK,1154,2009-06-16 23:59:59.999989,5.39395,5.34238,5.39673,5.36814,0.0,,USDPLN,1155,2009-06-16 23:59:59.999989,3.27862,3.23752,3.29098,3.25618,0.0,,TestStrategy,1155,733574.9999999999,Broker,1155,99570.78215630777,100170.25926921729,BuySell,1155,,,BuySell,1155,,,DataTrades,1155,,
1156,USDDKK,1155,2009-06-17 23:59:59.999989,5.36825,5.32219,5.38515,5.33217,0.0,,USDPLN,1156,2009-06-17 23:59:59.999989,3.25628,3.23407,3.27821,3.23946,0.0,,TestStrategy,1156,733575.9999999999,Broker,1156,99570.78215630777,100163.3009015833,BuySell,1156,,,BuySell,1156,,,DataTrades,1156,,
1157,USDDKK,1156,2009-06-18 23:59:59.999989,5.33209,5.31605,5.36568,5.34637,0.0,,USDPLN,1157,2009-06-18 23:59:59.999989,3.23936,3.23107,3.2843,3.24784,0.0,,TestStrategy,1157,733576.9999999999,Broker,1157,99570.78215630777,100165.02129649153,BuySell,1157,,,BuySell,1157,,,DataTrades,1157,,
1158,USDDKK,1157,2009-06-19 23:59:59.999989,5.34627,5.31162,5.36157,5.35041,0.0,,USDPLN,1158,2009-06-19 23:59:59.999989,3.24772,3.20576,3.27255,3.24796,0.0,,TestStrategy,1158,733577.9999999999,Broker,1158,99570.78215630777,100166.81702946195,BuySell,1158,,,BuySell,1158,,,DataTrades,1158,,
1159,USDDKK,1158,2009-06-22 23:59:59.999989,5.35025,5.34676,5.38365,5.36862,0.0,,USDPLN,1159,2009-06-22 23:59:59.999989,3.24785,3.23012,3.2781,3.26535,0.0,,TestStrategy,1159,733580.9999999999,Broker,1159,99570.78215630777,100165.1903951046,BuySell,1159,,,BuySell,1159,,,DataTrades,1159,,
1160,USDDKK,1159,2009-06-23 23:59:59.999989,5.36848,5.27533,5.38168,5.28267,0.0,,USDPLN,1160,2009-06-23 23:59:59.999989,3.2652,3.21875,3.29321,3.2241,0.0,,TestStrategy,1160,733581.9999999999,Broker,1160,99570.78215630777,100149.31212319073,BuySell,1160,,,BuySell,1160,,,DataTrades,1160,,
1161,USDDKK,1160,2009-06-24 23:59:59.999989,5.28278,5.26391,5.35751,5.32867,0.0,,USDPLN,1161,2009-06-24 23:59:59.999989,3.22421,3.20163,3.26092,3.23936,0.0,,TestStrategy,1161,733582.9999999999,Broker,1161,99570.78215630777,100161.74290745288,BuySell,1161,,,BuySell,1161,,,DataTrades,1161,,
1162,USDDKK,1161,2009-06-25 23:59:59.999989,5.32854,5.29995,5.36053,5.30177,0.0,,USDPLN,1162,2009-06-25 23:59:59.999989,3.23922,3.19587,3.25532,3.19673,0.0,,TestStrategy,1162,733583.9999999999,Broker,1162,99570.78215630777,100173.91975095088,BuySell,1162,,,BuySell,1162,,,DataTrades,1162,,
1163,USDDKK,1162,2009-06-26 23:59:59.999989,5.30165,5.27358,5.31255,5.30312,0.0,,USDPLN,1163,2009-06-26 23:59:59.999989,3.19664,3.17301,3.21204,3.20484,0.0,,TestStrategy,1163,733584.9999999999,Broker,1163,99570.78215630777,100169.86403700271,BuySell,1163,,,BuySell,1163,,,DataTrades,1163,,
1164,USDDKK,1163,2009-06-29 23:59:59.999989,5.30293,5.26812,5.32481,5.27672,0.0,,USDPLN,1164,2009-06-29 23:59:59.999989,3.20475,3.17089,3.23073,3.17368,0.0,,TestStrategy,1164,733587.9999999999,Broker,1164,99570.78215630777,100175.65429838868,BuySell,1164,,,BuySell,1164,,,DataTrades,1164,,
1165,USDDKK,1164,2009-06-30 23:59:59.999989,5.2766,5.26033,5.31783,5.30513,0.0,,USDPLN,1165,2009-06-30 23:59:59.999989,3.17355,3.13816,3.19424,3.16776,0.0,,TestStrategy,1165,733588.9999999999,Broker,1165,99570.78215630777,100192.18449162206,BuySell,1165,,,BuySell,1165,,,DataTrades,1165,,
1166,USDDKK,1165,2009-07-01 23:59:59.999989,5.30498,5.24151,5.31162,5.27414,0.0,,USDPLN,1166,2009-07-01 23:59:59.999989,3.1676,3.06328,3.17471,3.07228,0.0,,TestStrategy,1166,733589.9999999999,Broker,1166,99570.78215630777,100232.9640741385,BuySell,1166,,,BuySell,1166,,,DataTrades,1166,,
1167,USDDKK,1166,2009-07-02 23:59:59.999989,5.27427,5.26952,5.34427,5.32336,0.0,,USDPLN,1167,2009-07-02 23:59:59.999989,3.07237,3.07174,3.1411,3.12092,0.0,,TestStrategy,1167,733590.9999999999,Broker,1167,99570.78215630777,100227.62334548555,BuySell,1167,,,BuySell,1167,,,DataTrades,1167,,
